iter,obj,aug_obj,return,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.079267,0.07926691,0.0025540878979999995,100,1000,0.1,0.001,1,5,best,,best
1,0.074454,0.07445427,0.002540167521,100,1000,0.1,0.001,1,5,best,,best
2,0.058403,0.05840345,0.0024945589449999997,100,1000,0.1,0.001,1,5,best,,best
3,0.054377,0.05437657,0.002483306394,100,1000,0.1,0.001,1,5,best,,best
4,0.052795,0.05279494,0.002468863362,100,1000,0.1,0.001,1,5,best,,best
5,0.049042,0.04904206,0.0024592100259999998,100,1000,0.1,0.001,1,5,best,,best
6,0.041501,0.04150126,0.0024399853519999994,100,1000,0.1,0.001,1,5,best,,best
7,0.035969,0.03596858,0.0024260202619999995,100,1000,0.1,0.001,1,5,best,,best
8,0.03318,0.03317977,0.002419032952,100,1000,0.1,0.001,1,5,best,,best
9,0.029545,0.02954542,0.0024099626889999997,100,1000,0.1,0.001,1,5,best,,best
10,0.02868,0.02868025,0.0024108209484999996,100,1000,0.1,0.001,1,5,best,,best
11,0.027864,0.02786405,0.0024036728298999998,100,1000,0.1,0.001,1,5,best,,best
12,0.027081,0.02708058,0.00240444526345,100,1000,0.1,0.001,1,5,best,,best
13,0.024889,0.02488864,0.0023989716649999997,100,1000,0.1,0.001,1,5,best,,best
14,0.022854,0.02285378,0.0023939068279999996,100,1000,0.1,0.001,1,5,best,,best
15,0.020968,0.02096798,0.002389227899,100,1000,0.1,0.001,1,5,best,,best
16,0.020395,0.0203946,0.0023842681559,100,1000,0.1,0.001,1,5,best,,best
17,0.019843,0.01984257,0.0023848041179,100,1000,0.1,0.001,1,5,best,,best
18,0.019325,0.01932478,0.00238034034911,100,1000,0.1,0.001,1,5,best,,best
19,0.018815,0.0188146,0.00237889464911,100,1000,0.1,0.001,1,5,best,,best
20,0.018316,0.01831587,0.0023793770149099997,100,1000,0.1,0.001,1,5,best,,best
