iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.10838165286108688,0.10838165286108688,0.008684688484,[0.       0.066853 0.       0.       0.683335 0.       0.       0.067874 0.       0.       0.       0.       0.       0.       0.056901 0.03577  0.       0.       0.040202 0.       0.       0.       0.016373 0.032691 0.       0.       0.       0.       0.       0.       0.      ],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
1,0.08537002939916057,0.08537002939916057,0.009209070837000002,[0.       0.050775 0.       0.       0.759495 0.       0.       0.05155  0.       0.       0.       0.       0.       0.       0.043216 0.027167 0.       0.       0.030533 0.       0.       0.       0.012435 0.024829 0.       0.       0.       0.       0.       0.       0.      ],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
2,0.07032599036466161,0.07032599036466161,0.009530110398,[0.       0.040931 0.       0.       0.806123 0.       0.       0.041556 0.       0.       0.       0.       0.       0.       0.034837 0.0219   0.       0.       0.024613 0.       0.       0.       0.010024 0.020015 0.       0.       0.       0.       0.       0.       0.      ],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
3,0.051839709070871536,0.051839709070871536,0.009354340115,[0.       0.010024 0.       0.       0.806123 0.       0.       0.041556 0.       0.       0.       0.       0.       0.       0.034837 0.0219   0.       0.       0.024613 0.       0.       0.       0.       0.020015 0.       0.       0.       0.       0.       0.       0.      ],[0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
4,0.03913261241831874,0.03913261241831874,0.009214210386999998,[0.       0.       0.       0.       0.806123 0.       0.       0.041556 0.       0.       0.       0.       0.       0.       0.010024 0.0219   0.       0.       0.024613 0.       0.       0.       0.       0.020015 0.       0.       0.       0.       0.       0.       0.      ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
5,0.038572317916936855,0.038572317916936855,0.0092015273081,[0.        0.        0.        0.        0.806123  0.        0.        0.041556  0.        0.        0.        0.        0.        0.        0.010024  0.0243613 0.        0.        0.0221517 0.        0.        0.        0.        0.020015  0.        0.        0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
6,0.032026492512849086,0.032026492512849086,0.009123446846100001,[0.        0.        0.        0.        0.806123  0.        0.        0.041556  0.        0.        0.        0.        0.        0.        0.        0.0243613 0.        0.        0.0221517 0.        0.        0.        0.        0.010024  0.        0.        0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
7,0.031495745950788086,0.031495745950788086,0.00914957190422,[0.         0.         0.         0.         0.80855913 0.         0.         0.041556   0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.0221517  0.         0.         0.         0.         0.010024   0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
8,0.03114025216692327,0.03114025216692327,0.009146355477379998,[0.         0.         0.         0.         0.80855913 0.         0.         0.041556   0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.01993653 0.         0.         0.         0.         0.01223917 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
9,0.029931478920576675,0.029931478920576675,0.00917093585138,[0.         0.         0.         0.         0.81271473 0.         0.         0.0374004  0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.01993653 0.         0.         0.         0.         0.01223917 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
10,0.029031528482508777,0.029031528482508777,0.009182042492243,[0.         0.         0.         0.         0.81470838 0.         0.         0.0374004  0.         0.         0.         0.         0.         0.         0.         0.02192517 0.         0.         0.01794288 0.         0.         0.         0.         0.01223917 0.         0.         0.         0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.0015,1,8,best,12,random
