iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.11035658981653156,0.11035658981653156,0.002159477808928,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09127475 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.062195   0.         0.056914   0.         0.099517   0.         0.         0.         0.070246   0.         0.         0.         0.03823528 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07673    0.         0.         0.079317   0.018289   0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.095223   0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
1,0.11022497759210764,0.11022497759210764,0.002158711263778,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09127475 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.062195   0.         0.056914   0.         0.099517   0.         0.         0.         0.070246   0.         0.         0.         0.03823528 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07768223 0.         0.         0.079317   0.018289   0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09427077 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
2,0.11011530403033797,0.11011530403033797,0.002161063845658,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09127475 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06319017 0.         0.056914   0.         0.09852183 0.         0.         0.         0.070246   0.         0.         0.         0.03823528 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07768223 0.         0.         0.079317   0.018289   0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09427077 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
3,0.10998492358475587,0.10998492358475587,0.0021603049659595,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09127475 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06319017 0.         0.056914   0.         0.09852183 0.         0.         0.         0.070246   0.         0.         0.         0.03823528 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07862494 0.         0.         0.079317   0.018289   0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
4,0.10987841128442469,0.10987841128442469,0.0021585004640966438,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09036201 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06319017 0.         0.056914   0.         0.09852183 0.         0.         0.         0.070246   0.         0.         0.         0.03823528 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07862494 0.         0.         0.079317   0.01920175 0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
5,0.10978459671914137,0.10978459671914137,0.002156735694133682,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08945839 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06319017 0.         0.056914   0.         0.09852183 0.         0.         0.         0.07114962 0.         0.         0.         0.03823528 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07862494 0.         0.         0.079317   0.01920175 0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
6,0.10962928146186432,0.10962928146186432,0.0021544348244658417,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.0885638  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06319017 0.         0.056914   0.         0.09852183 0.         0.         0.         0.07114962 0.         0.         0.         0.03823528 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07951952 0.         0.         0.079317   0.01920175 0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
7,0.10953666656590941,0.10953666656590941,0.0021527051734251427,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08767816 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06319017 0.         0.056914   0.         0.09852183 0.         0.         0.         0.07203526 0.         0.         0.         0.03823528 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07951952 0.         0.         0.079317   0.01920175 0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
8,0.10942097927088196,0.10942097927088196,0.0021538865516574314,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08767816 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06319017 0.         0.056914   0.         0.09852183 0.         0.         0.         0.07131491 0.         0.         0.         0.03895563 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07951952 0.         0.         0.079317   0.01920175 0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
9,0.10931126277605646,0.10931126277605646,0.0021551745438770933,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.08680138 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.054725   0.         0.         0.         0.         0.         0.         0.         0.         0.06406695 0.         0.056914   0.         0.09852183 0.         0.         0.         0.07131491 0.         0.         0.         0.03895563 0.         0.         0.         0.         0.097736   0.         0.         0.042506   0.         0.01630497 0.         0.         0.         0.         0.07951952 0.         0.         0.079317   0.01920175 0.         0.015571   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.09332806 0.         0.         0.         0.085215  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],16.0,500,100,0.01,0.0015,2,16,TID,1,best
