iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.21691465358540313,0.21691465358540313,0.003992691061,[0.       0.       0.       0.       0.138515 0.       0.       0.       0.       0.       0.147837 0.       0.       0.       0.       0.       0.       0.139653 0.       0.138824 0.144419 0.142632 0.       0.       0.       0.       0.       0.       0.148119 0.       0.      ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
1,0.21664500021538183,0.21664500021538183,0.003992691061,[0.         0.         0.         0.         0.13991153 0.         0.         0.         0.         0.         0.147837   0.         0.         0.         0.         0.         0.         0.13825647 0.         0.138824   0.144419   0.142632   0.         0.         0.         0.         0.         0.         0.148119   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
2,0.21620075908750355,0.21620075908750355,0.003992691061,[0.       0.       0.       0.       0.142334 0.       0.       0.       0.       0.       0.144289 0.       0.       0.       0.       0.       0.       0.141419 0.       0.141589 0.143265 0.14273  0.       0.       0.       0.       0.       0.       0.144374 0.       0.      ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
3,0.21583942558624553,0.21583942558624553,0.003992691061,[0.         0.         0.         0.         0.14376665 0.         0.         0.         0.         0.         0.144289   0.         0.         0.         0.         0.         0.         0.141419   0.         0.141589   0.14183235 0.14273    0.         0.         0.         0.         0.         0.         0.144374   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
4,0.21583942558624553,0.21583942558624553,0.003992691061,[0.         0.         0.         0.         0.14376665 0.         0.         0.         0.         0.         0.144289   0.         0.         0.         0.         0.         0.         0.141419   0.         0.141589   0.14183235 0.14273    0.         0.         0.         0.         0.         0.         0.144374   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
5,0.2155416477725418,0.2186250681380596,0.003992691061,[0.         0.         0.         0.         0.14520954 0.         0.         0.         0.         0.         0.14284611 0.         0.         0.         0.         0.         0.         0.141419   0.         0.141589   0.14183235 0.14273    0.         0.         0.         0.         0.         0.         0.144374   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
6,0.2155416477725418,0.2155416477725418,0.003992691061,[0.         0.         0.         0.         0.14520954 0.         0.         0.         0.         0.         0.14284611 0.         0.         0.         0.         0.         0.         0.141419   0.         0.141589   0.14183235 0.14273    0.         0.         0.         0.         0.         0.         0.144374   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
7,0.21524595838415234,0.21832512478090293,0.003992691061,[0.         0.         0.         0.         0.146638   0.         0.         0.         0.         0.         0.14141765 0.         0.         0.         0.         0.         0.         0.141419   0.         0.141589   0.14183235 0.14273    0.         0.         0.         0.         0.         0.         0.144374   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
8,0.21489772656009337,0.21489772656009337,0.003992691061,[0.         0.         0.         0.         0.14805389 0.         0.         0.         0.         0.         0.14141765 0.         0.         0.         0.         0.         0.         0.141419   0.         0.14017311 0.14183235 0.14273    0.         0.         0.         0.         0.         0.         0.144374   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
9,0.21453928834118427,0.21453928834118427,0.003992691061,[0.         0.         0.         0.         0.14947221 0.         0.         0.         0.         0.         0.14141765 0.         0.         0.         0.         0.         0.         0.141419   0.         0.14017311 0.14041403 0.14273    0.         0.         0.         0.         0.         0.         0.144374   0.         0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],7.0,1000,100,0.01,0.0005,1,6,random,,best,single_objective
