iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z,gls_iter,gls_improve
0,TID,True,0.012467560411440391,0.004835966348652999,5,5,100,87,0.059359,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010019, 0.010474, 0.01, 0.01, 0.9590710209999999]","[4, 8, 16, 18, 25]",0,False
1,TID,True,0.01154269980469342,0.004822626348653,5,5,100,89,0.062138,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010019, 0.010474, 0.01, 0.01, 0.9590710209999999]","[4, 8, 14, 16, 25]",0,False
2,idID,True,0.011247095900610163,0.004797359184000001,5,5,100,92,0.058362,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010028, 0.010009, 0.010009, 0.010009, 0.959945]","[4, 12, 14, 16, 25]",0,False
3,TID,True,0.011170165637926707,0.004689814964000001,5,5,100,93,0.058542,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
4,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,89,0.059051,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
5,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,87,0.06149,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
6,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,92,0.059668,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
7,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,84,0.057566,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
8,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,90,0.058778,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
9,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,90,0.057179,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
10,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,91,0.05925,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
11,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,92,0.060628,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
12,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,85,0.061095,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
13,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,88,0.057265,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
14,iDR,False,0.011170165637926707,0.004689814964000001,5,5,100,94,0.057006,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010009, 0.010009, 0.01, 0.010009, 0.959945]","[12, 14, 15, 16, 25]",0,False
0,idID,True,0.016474782253360444,0.004838071061,5,5,100,84,0.05738,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010023, 0.010479, 0.010004, 0.010004, 0.959489]","[4, 8, 16, 18, 25]",1,False
1,TID,True,0.0145489765210911,0.004824709885,5,5,100,82,0.056475,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010023, 0.010479, 0.01, 0.010004, 0.959489]","[4, 8, 14, 16, 25]",1,False
2,TID,True,0.013236002971275296,0.004795041800000001,5,5,100,92,0.059966,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010023, 0.01, 0.01, 0.010004, 0.959489]","[4, 12, 14, 16, 25]",1,False
3,TID,True,0.012371270291356725,0.004724561905000001,5,5,100,89,0.058308,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.010004, 0.01, 0.959489]","[12, 14, 16, 23, 25]",1,False
4,TID,True,0.012181642303496724,0.004709941905000001,5,5,100,90,0.055286,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.010004, 0.959489, 0.01]","[12, 14, 16, 25, 30]",1,False
5,iDR,False,0.012181642303496724,0.004709941905000001,5,5,100,94,0.057128,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.010004, 0.959489, 0.01]","[12, 14, 16, 25, 30]",1,False
6,TID,True,0.012159513633946724,0.004687551905000001,5,5,100,85,0.055674,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
7,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,90,0.057801,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
8,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,89,0.055703,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
9,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,90,0.055991,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
10,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,87,0.055003,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
11,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,95,0.056541,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
12,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,90,0.056832,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
13,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,90,0.060348,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
14,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,94,0.057864,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
15,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,92,0.059049,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
16,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,90,0.057921,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
17,iDR,False,0.012159513633946724,0.004687551905000001,5,5,100,89,0.058412,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.010004, 0.959489]","[12, 14, 15, 16, 25]",1,False
0,TID,True,0.02046756041144039,0.004835966348652999,5,5,100,86,0.059876,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010019, 0.010474, 0.01, 0.01, 0.9590710209999999]","[4, 8, 16, 18, 25]",2,False
1,TID,True,0.01754269980469342,0.004822626348653,5,5,100,88,0.059687,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010019, 0.010474, 0.01, 0.01, 0.9590710209999999]","[4, 8, 14, 16, 25]",2,False
2,TID,True,0.015230375272737889,0.004792993838652999,5,5,100,88,0.058546,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010019, 0.01, 0.01, 0.01, 0.9590710209999999]","[4, 12, 14, 16, 25]",2,False
3,TID,True,0.01315420334337778,0.004685547403652999,5,5,100,91,0.059511,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.01, 0.9590710209999999]","[12, 14, 15, 16, 25]",2,False
4,iDR,False,0.01315420334337778,0.004685547403652999,5,5,100,90,0.058883,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.01, 0.9590710209999999]","[12, 14, 15, 16, 25]",2,False
5,iDR,False,0.01315420334337778,0.004685547403652999,5,5,100,95,0.061624,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.01, 0.9590710209999999]","[12, 14, 15, 16, 25]",2,False
6,iDR,False,0.01315420334337778,0.004685547403652999,5,5,100,91,0.058915,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.01, 0.9590710209999999]","[12, 14, 15, 16, 25]",2,False
7,iDR,False,0.01315420334337778,0.004685547403652999,5,5,100,93,0.061693,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.01, 0.01, 0.01, 0.9590710209999999]","[12, 14, 15, 16, 25]",2,False
