iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,selection_strategy,tag,X,Z,gls_iter,gls_improve
0,idID,True,0.12164,0.0013988895689999998,8,8,1000,555,0.603179,100,1000,0.1,0.001,5,15,best,best,gls,"[0.038909, 0.083701, 0.672229, 0.015516, 0.027653, 0.026492, 0.077835, 0.057666]","[7, 11, 16, 17, 22, 28, 29, 30]",0,False
1,idID,True,0.095584,0.0011231790809999999,8,8,1000,323,0.565803,100,1000,0.1,0.001,5,15,best,best,gls,"[0.029304, 0.063039, 0.753141, 0.011686, 0.020827, 0.019952, 0.058621, 0.043431]","[7, 11, 16, 17, 22, 28, 29, 30]",0,False
2,iDR,True,0.089679,0.001064267022,8,8,1000,343,0.551964,100,1000,0.1,0.001,5,15,best,best,gls,"[0.027252, 0.058624, 0.77043, 0.010868, 0.019368, 0.018555, 0.054515, 0.040389]","[7, 11, 16, 17, 22, 28, 29, 30]",0,False
3,iDR,True,0.083961,0.001008312183,8,8,1000,398,0.560044,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025303, 0.05443, 0.786851, 0.010091, 0.017983, 0.017228, 0.050615, 0.0375]","[7, 11, 16, 17, 22, 28, 29, 30]",0,False
4,idID,True,0.080716,0.001014595749,7,7,1000,366,0.556091,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025561, 0.054985, 0.794871, 0.018166, 0.017404, 0.051131, 0.037882]","[7, 11, 16, 22, 28, 29, 30]",0,False
5,TID,True,0.07895,0.0010058472348999999,7,7,1000,285,0.56215,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025561, 0.054985, 0.7999841, 0.018166, 0.017404, 0.0460179, 0.037882]","[7, 11, 16, 22, 28, 29, 30]",0,False
6,iDR,True,0.077663,0.0010012794840000001,7,7,1000,235,0.59695,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025679, 0.055239, 0.803682, 0.01825, 0.017484, 0.041608, 0.038057]","[7, 11, 16, 22, 28, 29, 30]",0,False
7,TID,True,0.077334,0.0010028897136000001,7,7,1000,232,0.540735,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025679, 0.055239, 0.803682, 0.01825, 0.017484, 0.0374472, 0.0422178]","[7, 11, 16, 22, 28, 29, 30]",0,False
8,TID,True,0.077021,0.00100433892024,7,7,1000,236,0.549715,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025679, 0.055239, 0.803682, 0.01825, 0.017484, 0.03370248, 0.04596252]","[7, 11, 16, 22, 28, 29, 30]",0,False
9,iDR,True,0.076045,0.001000998932,7,7,1000,234,0.527457,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025766, 0.055426, 0.806401, 0.018312, 0.017543, 0.030435, 0.046118]","[7, 11, 16, 22, 28, 29, 30]",0,False
10,TID,True,0.075771,0.0010021767665,7,7,1000,222,0.526694,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025766, 0.055426, 0.806401, 0.018312, 0.017543, 0.0273915, 0.0491615]","[7, 11, 16, 22, 28, 29, 30]",0,False
11,TID,True,0.075514,0.00100323681755,7,7,1000,245,0.519043,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025766, 0.055426, 0.806401, 0.018312, 0.017543, 0.02465235, 0.05190065]","[7, 11, 16, 22, 28, 29, 30]",0,False
12,iDR,True,0.074782,0.001000789332,7,7,1000,224,0.524582,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02583, 0.055563, 0.808393, 0.018357, 0.017586, 0.022242, 0.052029]","[7, 11, 16, 22, 28, 29, 30]",0,False
13,TID,True,0.074563,0.0010016500974000002,7,7,1000,215,0.510959,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02583, 0.055563, 0.808393, 0.018357, 0.017586, 0.020017800000000002, 0.0542532]","[7, 11, 16, 22, 28, 29, 30]",0,False
14,TID,True,0.074361,0.00100242478626,7,7,1000,240,0.515179,100,1000,0.1,0.001,5,15,best,best,gls,"[0.02583, 0.055563, 0.808393, 0.018357, 0.017586, 0.01801602, 0.05625498]","[7, 11, 16, 22, 28, 29, 30]",0,False
15,iDR,True,0.073816,0.0010006400380000002,7,7,1000,223,0.528188,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025877, 0.055663, 0.809852, 0.01839, 0.017618, 0.016244, 0.056357]","[7, 11, 16, 22, 28, 29, 30]",0,False
16,TID,True,0.073639,0.0010040633125000002,7,7,1000,181,0.524982,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025877, 0.050096699999999994, 0.809852, 0.01839, 0.0231843, 0.016244, 0.056357]","[7, 11, 16, 22, 28, 29, 30]",0,False
17,TID,True,0.073038,0.0010012839641,7,7,1000,243,0.516434,100,1000,0.1,0.001,5,15,best,best,gls,"[0.025877, 0.050096699999999994, 0.8114764, 0.01839, 0.0231843, 0.014619600000000002, 0.056357]","[7, 11, 16, 22, 28, 29, 30]",0,False
