EMPRESA;ISQP;MEDIA IDAT RS 3 ANOS;ISG;IAC;PERDAS APURADO;PERDAS REFERENCIAL;DEC INTERNO ANTERIOR;DEC INTERNO;DEC APURADO;DEC ANEEL;FEC INTERNO ANTERIOR;FEC INTERNO;FEC APURADO;FEC ANEEL;TG PROPRIO;TF PROPRIO;INADIMPLENCIA;INS;FER;PSP;REMUN CRITERIO SETORIAL;RESULTADO OPERACIONAL;COBERTURA;EFICIENCIA CAPITAL GIRO;EFICIENCIA CAPITAL PROPRIO TERCEIROS;ETHOS;TG POPULACAO;TF POPULACAO;RELATORIO GESTAO
AMAZONAS ENERGIA;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND
CEEE;64,80208032;64,22432036;66,45264848;69,12;17,68;9,26;18,25;19,47;20;9,17;9,52;9,85;10,6;6,97;1585;4,32;3,902300052;77,75;5,19;96,79;-37,2025448;NA;NA;NA;NA;3,17;3759;1,81;7,1
CELESC;76,74152154;74,27990679;77,52808989;80,48;8,06;7,42;10,81;9,15;9,21;10,94;7,47;6,59;6,69;8,65;911;8,89;2,275874438;83,87;7,54;96,88;11,32106929;37,27330954;1,850855209;1,112221948;1,71;6,21;3309;2,07;8
CELPE;64,53443097;61,15667023;55,68001;65,92;19,8;16,1;11,79;12,94;13;13,4;5,35;5,33;5,51;8,34;382;4,32;3,661966936;83,97;5,12;97,81;5,92503023;39,32098765;6,811616954;1,00482509;1,44;6,76;11768;4,15;9,5
CEMIG;69,81100236;72,42892723;69,23076923;73,12;12,56;11,43;10,56;9,58;9,64;10,32;4,85;4,86;5,05;6,98;507;5,06;2,73349513;74,18;12,04;98,94;14,0179104;39,34291279;3,619637228;2,381620058;1,67;5,35;7712;3,27;7,2
COELBA;63,25432846;65,6315206;67,41573034;66,08;17,22;14,35;11,8;12,18;12,44;14,11;5,39;5,17;5,54;7,87;15;3,15;3,568838258;83,17;5,23;96,13;13,90769231;57,85317344;3,713852376;0,703563941;1,54;6,74;10299;3,68;9,5
COPEL;78,74136173;79,36339273;83,01282051;83,84;9,04;8,42;9,1;7,81;7,83;9,79;6,01;5,55;5,61;7,38;1256;5,32;2,18047025;92,56;5,56;99,07;23,2567926;66,96299195;1,41665546;0,853017623;1,53;6,63;5961;3,05;9,9
COSERN;71,0657924;75,50633238;71,84;75,84;11,29;10,77;9,97;8,96;9,2;11,92;4,71;3,6;3,85;8,01;5;2,24;3,569967324;85,03;5,21;97,01;16,8993741;61,95372751;2,558091286;0,834494774;1,44;6,92;2688;2,26;9,5
CPFL PAULISTA;72,62754956;73,78471386;71,10754414;78,24;9,42;8,38;6,71;6,79;6,81;7,18;4,34;4,21;4,27;6,04;954;8,54;2,929743245;81,87;3,3;99,3;18,9579898;56,81950849;4,493657666;1,287012029;6,44;7,05;7422;3,18;8
CPFL PIRATININGA;70,93395902;72,43927371;72,16;76,8;7,85;6,56;6,47;5,82;5,84;6,42;4,33;4,27;4,32;5,68;1059;6,74;2,362107139;82,54;3,79;99,58;16,74960094;58,58131694;3,42555272;0,707698882;8,25;7,38;2546;2,29;8,3
EDP ES;72,55527568;70,39185281;74,67948718;76,48;13,39;11,56;8,08;7,85;7,85;9,47;4,58;4,01;4,01;6,87;1501;7,57;3,479276633;92,32;6,18;96,64;10,11757966;45,93532135;4,821493482;0,90147429;2;6,12;14856;4,57;8,9
EDP SP;69,46573619;73,8515865;69,71153846;78,88;8,57;7,19;6,98;7,16;7,16;7,71;4,52;4,62;4,62;6,03;3;2,18;3,33224414;94,04;6,55;97,3;13,49;48,89;3,41;1,09;2,11;6,34;5335;2,13;9,1
ELEKTRO;69,98393943;71,75873677;71,47435897;76;8,08;8,11;7,43;7,49;7,57;8,31;4,13;4,27;4,49;6,39;1388;3,42;2,519032691;79,14;6,33;95,69;16,26621816;55,98388953;2,513083248;0,926767677;1,11;6,95;6264;1,79;10
ENEL CE;59,82362134;66,78707858;54,4;52,64;16,18;13,52;13,95;16,34;16,51;10,15;5,48;6,14;6,3;7,32;963;5,52;5,481491277;86,1;49,8;88,72;4,972734703;32,38378478;4,37904428;1,412032797;1,14;7,03;12953;10,34;8,1
ENEL GO;59,93403844;57,62459086;55,68;47,36;11,48;11,85;22,72;16,2;17,03;12,92;10,43;8,99;9,61;9,89;1199;5,19;4,264755559;89,82;14,41;98,76;5,414751468;31,97854701;4,983555108;0,237646436;0,4;6,34;10824;4,64;8,1
ENEL RJ;63,61936069;59,43991646;57,76;59,68;21,91;18,52;13,22;10,75;11,24;10,16;7,95;6,2;6,51;7,28;328;15,64;5,057308042;88,35;11,13;96,69;-0,132422145;22,89347314;10,03632419;1,005189293;0,25;6,63;25508;10,33;8,4
