,empresa,indicador,valor,na,nd,criterio,peso_especifica,peso_geral,criterio_desempate,sub_indicador,calculado,direcao_indicador
155,AMAZONAS ENERGIA,COBERTURA,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
156,CEEE,COBERTURA,,1.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
157,CELESC,COBERTURA,1.8508552,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
158,CELPE,COBERTURA,6.811617,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
159,CEMIG,COBERTURA,3.6196373,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
160,COELBA,COBERTURA,3.7138524,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
161,COPEL,COBERTURA,1.4166554,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
162,COSERN,COBERTURA,2.5580914,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
163,CPFL PAULISTA,COBERTURA,4.4936576,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
164,CPFL PIRATININGA,COBERTURA,3.4255526,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
165,EDP ES,COBERTURA,4.8214936,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
166,EDP SP,COBERTURA,3.41,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
167,ELEKTRO,COBERTURA,2.5130832,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
168,ENEL CE,COBERTURA,4.379044,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
169,ENEL GO,COBERTURA,4.9835553,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
170,ENEL RJ,COBERTURA,10.0363245,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
171,ENEL SP,COBERTURA,5.0813956,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
172,ENERGISA MS,COBERTURA,1.9205763,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
173,ENERGISA MT,COBERTURA,2.3337293,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
174,ENERGISA PB,COBERTURA,1.2073869,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
175,ENERGISA RO,COBERTURA,42.100285,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
176,ENERGISA SE,COBERTURA,2.7588608,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
177,ENERGISA SS,COBERTURA,2.2189474,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
178,ENERGISA TO,COBERTURA,2.2548811,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
179,EQTL ALAGOAS,COBERTURA,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
180,EQTL MARANHÃO,COBERTURA,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
181,EQTL PARÁ,COBERTURA,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
182,EQTL PIAUÍ,COBERTURA,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
183,LIGHT,COBERTURA,7.194871,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
184,NEOENERGIA BRASÍLIA,COBERTURA,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
185,RGE,COBERTURA,3.8654845,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,menor melhor
279,,DEC,,,,Gestão Operacional,20,5.0,0,0,1,maior melhor
777,AMAZONAS ENERGIA,DEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
778,CEEE,DEC ANEEL,9.17,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
779,CELESC,DEC ANEEL,10.94,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
780,CELPE,DEC ANEEL,13.4,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
781,CEMIG,DEC ANEEL,10.32,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
782,COELBA,DEC ANEEL,14.11,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
783,COPEL,DEC ANEEL,9.79,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
784,COSERN,DEC ANEEL,11.92,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
785,CPFL PAULISTA,DEC ANEEL,7.18,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
786,CPFL PIRATININGA,DEC ANEEL,6.42,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
787,EDP ES,DEC ANEEL,9.47,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
788,EDP SP,DEC ANEEL,7.71,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
789,ELEKTRO,DEC ANEEL,8.31,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
790,ENEL CE,DEC ANEEL,10.15,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
791,ENEL GO,DEC ANEEL,12.92,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
792,ENEL RJ,DEC ANEEL,10.16,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
793,ENEL SP,DEC ANEEL,7.4,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
794,ENERGISA MS,DEC ANEEL,11.5,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
795,ENERGISA MT,DEC ANEEL,21.47,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
796,ENERGISA PB,DEC ANEEL,15.97,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
797,ENERGISA RO,DEC ANEEL,27.45,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
798,ENERGISA SE,DEC ANEEL,12.05,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
799,ENERGISA SS,DEC ANEEL,7.57,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
800,ENERGISA TO,DEC ANEEL,23.55,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
801,EQTL ALAGOAS,DEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
802,EQTL MARANHÃO,DEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
803,EQTL PARÁ,DEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
804,EQTL PIAUÍ,DEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
805,LIGHT,DEC ANEEL,8.33,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
806,NEOENERGIA BRASÍLIA,DEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
807,RGE,DEC ANEEL,11.14,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
746,AMAZONAS ENERGIA,DEC APURADO,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
747,CEEE,DEC APURADO,20.0,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
748,CELESC,DEC APURADO,9.21,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
749,CELPE,DEC APURADO,13.0,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
750,CEMIG,DEC APURADO,9.64,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
751,COELBA,DEC APURADO,12.44,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
752,COPEL,DEC APURADO,7.83,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
753,COSERN,DEC APURADO,9.2,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
754,CPFL PAULISTA,DEC APURADO,6.81,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
755,CPFL PIRATININGA,DEC APURADO,5.84,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
756,EDP ES,DEC APURADO,7.85,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
757,EDP SP,DEC APURADO,7.16,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
758,ELEKTRO,DEC APURADO,7.57,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
759,ENEL CE,DEC APURADO,16.51,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
760,ENEL GO,DEC APURADO,17.03,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
761,ENEL RJ,DEC APURADO,11.24,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
762,ENEL SP,DEC APURADO,7.52,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
763,ENERGISA MS,DEC APURADO,10.0,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
764,ENERGISA MT,DEC APURADO,17.48,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
765,ENERGISA PB,DEC APURADO,14.22,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
766,ENERGISA RO,DEC APURADO,35.7,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
767,ENERGISA SE,DEC APURADO,10.57,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
768,ENERGISA SS,DEC APURADO,4.94,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
769,ENERGISA TO,DEC APURADO,18.0,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
770,EQTL ALAGOAS,DEC APURADO,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
