,iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy
0,0,iDR,True,0.17297770310990118,0.003707691205317486,10,[0.07621318 0.09812795 0.02589314 0.50096468 0.03730149 0.05752536 0.04645785 0.07434652 0.0184686  0.06470125],[ 0  8  9 12 15 17 23 24 27 29],1000,0,0.324873,100,1000,0.01,0.003,1,10,10,best,42,best
1,1,idID,True,0.11476644462798406,0.0030327346629908727,10,[0.03865684 0.04977245 0.01313352 0.25409926 0.01892006 0.02917801 0.02356435 0.03771003 0.50214772 0.03281776],[ 0  8  9 12 15 17 23 24 27 29],1000,296,0.85627,100,1000,0.01,0.003,1,10,10,best,42,best
2,2,idID,True,0.10657762868503298,0.003064131869934756,10,[0.03975855 0.05119096 0.01350782 0.26134103 0.01945928 0.03000957 0.02423592 0.010285   0.51645881 0.03375306],[ 0  8  9 12 15 17 23 25 27 29],1000,304,0.781441,100,1000,0.01,0.003,1,10,10,best,42,best
3,3,idID,True,0.10108780116759393,0.003216454967820715,10,[0.01030671 0.05276105 0.01392212 0.2693567  0.02005612 0.03093001 0.02497927 0.01060045 0.53229927 0.03478831],[ 4  8  9 12 15 17 23 25 27 29],1000,305,0.788983,100,1000,0.01,0.003,1,10,10,best,42,best
4,4,idID,True,0.09652590029854397,0.003192099939041304,10,[0.01046345 0.05356339 0.01413383 0.27345282 0.02036111 0.03140036 0.01076165 0.54039397 0.03531734 0.01015207],[ 4  8  9 12 15 17 25 27 29 30],1000,310,0.813778,100,1000,0.01,0.003,1,10,10,best,42,best
5,5,idID,True,0.0928133271568832,0.0032522094498677262,10,[0.01069227 0.05473473 0.01444292 0.27943278 0.02080638 0.01021868 0.01099699 0.5522115  0.03608967 0.01037408],[ 4  8  9 12 15 16 25 27 29 30],1000,290,0.848052,100,1000,0.01,0.003,1,10,10,best,42,best
6,6,idID,True,0.08773599351865456,0.0030522535756551147,10,[0.01119298 0.01511927 0.29251852 0.02178073 0.01069722 0.0104683  0.01151198 0.57807137 0.03777973 0.01085989],[ 4  9 12 15 16 18 25 27 29 30],1000,310,0.826514,100,1000,0.01,0.003,1,10,10,best,42,best
7,7,idID,True,0.08449591457781001,0.0030994813336756278,10,[0.0115128  0.01555129 0.3008768  0.01028573 0.02240308 0.01100288 0.01076741 0.01184092 0.59458889 0.0111702 ],[ 4  9 12 13 15 16 18 25 27 30],1000,295,0.87036,100,1000,0.01,0.003,1,10,10,best,42,best
8,8,idID,True,0.08145207002493172,0.0030870017662399493,10,[0.01157707 0.30255637 0.01034315 0.02252814 0.0110643  0.01082752 0.01190702 0.59790805 0.01005582 0.01123255],[ 4 12 13 15 16 18 25 27 29 30],1000,302,0.885234,100,1000,0.01,0.003,1,10,10,best,42,best
9,9,idID,True,0.0786995462760998,0.0031950027520603577,10,[0.01172395 0.01012687 0.30639493 0.01047438 0.01120467 0.01096489 0.01205808 0.60549376 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,372,0.769178,100,1000,0.01,0.003,1,10,10,best,42,best
10,10,TID,True,0.07837335518106073,0.0031884121970133994,10,[0.01172395 0.01012687 0.30333099 0.01047438 0.01120467 0.01096489 0.01205808 0.60855771 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,313,0.851525,100,1000,0.01,0.003,1,10,10,best,42,best
11,11,TID,True,0.07804497670357302,0.00318188754751691,10,[0.01172395 0.01012687 0.30029768 0.01047438 0.01120467 0.01096489 0.01205808 0.61159102 0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,309,0.823028,100,1000,0.01,0.003,1,10,10,best,42,best
12,12,TID,True,0.07771454115839985,0.003175428144515386,10,[0.01172395 0.01012687 0.2972947  0.01047438 0.01120467 0.01096489 0.01205808 0.614594   0.0101834  0.01137506],[ 4  8 12 13 16 18 25 27 29 30],1000,279,0.809668,100,1000,0.01,0.003,1,10,10,best,42,best
