,iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,neighbour_strategy,seed,selection_strategy
0,0,iDR,True,0.1923671171265567,0.003512666923021501,12,"[0.15699275 0.03695778 0.12584241 0.11196476 0.07174005 0.05039429
 0.15068696 0.04675864 0.06338539 0.06770419 0.09097667 0.0265961 ]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.013398,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
1,1,iDR,True,0.19200990176426408,0.00350946963076418,12,"[0.15656543 0.03685719 0.12549989 0.11166001 0.07154479 0.05025712
 0.15027681 0.04663137 0.06321286 0.06751991 0.09345092 0.02652371]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.011439,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
2,2,iDR,True,0.19164305560131464,0.0035061945651723753,12,"[0.15612772 0.03675414 0.12514903 0.11134784 0.07134477 0.05011662
 0.14985668 0.046501   0.06303614 0.06733115 0.09598535 0.02644956]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.010855,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
3,3,iDR,True,0.19126635452811747,0.00350284033706444,12,"[0.15567944 0.03664861 0.12478969 0.11102813 0.07113992 0.04997272
 0.1494264  0.04636748 0.06285514 0.06713782 0.09858104 0.02637362]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.010042,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
4,4,iDR,True,0.19087957145180856,0.003499405560128001,12,"[0.15522038 0.03654055 0.12442172 0.11070074 0.07093015 0.04982536
 0.14898579 0.04623076 0.0626698  0.06693985 0.10123906 0.02629585]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009152,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
5,5,iDR,True,0.1904824764074923,0.0034958888527357648,12,"[0.15475038 0.0364299  0.12404497 0.11036554 0.07071537 0.04967449
 0.14853466 0.04609077 0.06248004 0.06673716 0.10396049 0.02621622]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009674,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
6,6,iDR,True,0.190074836681948,0.0034922888398528406,12,"[0.15426924 0.03631664 0.1236593  0.1100224  0.07049551 0.04952005
 0.14807285 0.04594747 0.06228578 0.06652966 0.10674638 0.02613471]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009319,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
7,7,iDR,True,0.1896564169504147,0.0034886041550364713,12,"[0.15377679 0.03620071 0.12326456 0.10967119 0.07027048 0.04936197
 0.14760018 0.0458008  0.06208696 0.06631729 0.1095978  0.02605129]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009296,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
8,8,iDR,True,0.1892269794270777,0.0034848334425289164,12,"[0.15327284 0.03608207 0.1228606  0.10931178 0.07004019 0.0492002
 0.14711647 0.0456507  0.06188349 0.06609996 0.11251578 0.02596591]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009135,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
9,9,iDR,True,0.18878628402987624,0.003480975359443814,12,"[0.15275721 0.03596069 0.12244729 0.10894404 0.06980457 0.04903469
 0.14662155 0.04549713 0.0616753  0.06587759 0.11550139 0.02587856]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.00964,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
10,10,iDR,True,0.18833408856026296,0.003477028578046213,12,"[0.15222973 0.03583651 0.12202447 0.10856785 0.06956352 0.04886537
 0.14611525 0.04534002 0.06146233 0.06565011 0.11855563 0.0257892 ]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009433,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
11,11,iDR,True,0.18787014889852946,0.0034729917881259763,12,"[0.15169021 0.03570951 0.121592   0.10818308 0.06931699 0.04869219
 0.14559741 0.04517934 0.06124451 0.06541744 0.12167952 0.0256978 ]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.00907,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
12,12,iDR,True,0.18739421921531965,0.0034688636994640435,12,"[0.1511385  0.03557963 0.12114976 0.10778961 0.06906487 0.04851509
 0.14506786 0.04501501 0.06102175 0.06517951 0.12487407 0.02560434]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008854,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
13,13,iDR,True,0.1869060521999318,0.0034646430443905536,12,"[0.15057442 0.03544684 0.1206976  0.10738731 0.06880711 0.04833402
 0.14452643 0.04484701 0.06079401 0.06493625 0.12814025 0.02550878]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008904,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
14,14,iDR,True,0.18640539930600486,0.0034603285804335297,12,"[0.14999779 0.03531109 0.12023539 0.10697607 0.06854361 0.04814892
 0.14397297 0.04467527 0.0605612  0.06468757 0.13147903 0.02541109]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009026,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
15,15,iDR,True,0.1858920110151597,0.003455919093056309,12,"[0.14940847 0.03517236 0.119763   0.10655577 0.06827431 0.04795975
 0.14340732 0.04449974 0.06032326 0.06443342 0.13489133 0.02531125]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008864,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
16,16,iDR,True,0.18536563711914675,0.003451413398481493,12,"[0.14880629 0.0350306  0.1192803  0.10612631 0.06799914 0.04776645
 0.14282932 0.04432039 0.06008013 0.06417373 0.13837809 0.02520924]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009021,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
17,17,iDR,True,0.18482602702102316,0.003446810346598733,12,"[0.1481911  0.03488578 0.11878718 0.10568756 0.06771802 0.04756898
 0.14223884 0.04413716 0.05983175 0.06390842 0.14194019 0.02510502]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008915,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
18,18,iDR,True,0.1842729300558469,0.003442108823953116,12,"[0.14756275 0.03473786 0.1182835  0.10523943 0.06743088 0.04736728
 0.14163573 0.04395001 0.05957805 0.06363744 0.1455785  0.02499857]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009049,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
19,19,iDR,True,0.18370609583133748,0.003437307756810415,12,"[0.14692109 0.0345868  0.11776916 0.10478181 0.06713767 0.04716131
 0.14101984 0.0437589  0.05931899 0.06336072 0.14929383 0.02488987]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008853,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
20,20,iDR,True,0.183125274588907,0.003432406114294945,12,"[0.14626599 0.03443259 0.11724405 0.10431461 0.06683831 0.04695102
 0.14039106 0.04356379 0.05905449 0.06307821 0.153087   0.02477889]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008838,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
21,21,iDR,True,0.1825302175854126,0.003427402911595139,12,"[0.14559732 0.03427517 0.11670805 0.10383772 0.06653275 0.04673638
 0.13974924 0.04336463 0.05878452 0.06278984 0.15695876 0.02466561]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009012,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
22,22,iDR,True,0.18192067749592453,0.003422297213231447,12,"[0.14491495 0.03411454 0.11616108 0.10335107 0.06622093 0.04651734
 0.13909428 0.0431614  0.05850901 0.06249556 0.16090984 0.02455001]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009118,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
23,23,iDR,True,0.18129640883773412,0.0034170881363804824,12,"[0.14421876 0.03395065 0.11560303 0.10285456 0.0659028  0.04629387
 0.13842606 0.04295404 0.05822793 0.06219533 0.16494091 0.02443207]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008954,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
24,24,iDR,True,0.18065716841575807,0.0034117748542487896,12,"[0.14350865 0.03378348 0.11503382 0.10234811 0.0655783  0.04606592
 0.13774447 0.04274254 0.05794122 0.06188909 0.16905263 0.02431177]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009031,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
25,25,iDR,True,0.18000271578940924,0.003406356599488931,12,"[0.14278451 0.03361301 0.11445336 0.10183167 0.0652474  0.04583348
 0.13704941 0.04252687 0.05764885 0.06157679 0.17324558 0.02418909]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009085,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
26,26,iDR,True,0.17933281376092092,0.0034008326676499877,12,"[0.14204624 0.03343921 0.11386158 0.10130515 0.06491004 0.04559649
 0.1363408  0.04230698 0.05735078 0.06125841 0.17752031 0.02406402]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.00925,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
27,27,iDR,True,0.17864722888501097,0.0033952024206539136,12,"[0.14129376 0.03326207 0.11325841 0.10076849 0.06456618 0.04535495
 0.13561855 0.04208286 0.05704697 0.0609339  0.18187731 0.02393654]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009375,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
28,28,iDR,True,0.17794573199967081,0.00338946529028854,12,"[0.140527   0.03308157 0.11264378 0.10022165 0.0642158  0.04510882
 0.13488258 0.04185449 0.05673739 0.06060323 0.18631702 0.02380665]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008878,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
29,29,iDR,True,0.17722809877775159,0.0033836207817073928,12,"[0.13974589 0.03289769 0.11201766 0.09966458 0.06385886 0.04485809
 0.13413285 0.04162185 0.05642202 0.06026637 0.19083983 0.02367432]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008863,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
30,30,iDR,True,0.1764941102988998,0.003377668476925871,12,"[0.13895037 0.03271041 0.11137999 0.09909723 0.06349534 0.04460273
 0.13336928 0.04138491 0.05610083 0.0599233  0.19544606 0.02353955]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008958,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
31,31,iDR,True,0.17574355364126734,0.003371608038302683,12,"[0.1381404  0.03251974 0.11073073 0.09851957 0.06312521 0.04434273
 0.13259185 0.04114367 0.05577381 0.05957399 0.20013597 0.02340233]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009032,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
32,32,iDR,True,0.1749762224922875,0.0033654392119948813,12,"[0.13731595 0.03232565 0.11006986 0.09793158 0.06274846 0.04407808
 0.1318005  0.04089811 0.05544094 0.05921844 0.20490976 0.02326266]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008876,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
33,33,iDR,True,0.17419191777766474,0.0033591618313742197,12,"[0.13647698 0.03212815 0.10939737 0.09733324 0.06236509 0.04380878
 0.13099524 0.04064824 0.05510221 0.05885663 0.20976755 0.02312053]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.00971,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
34,34,iDR,True,0.17339044830757872,0.0033527758203920396,12,"[0.1356235  0.03192723 0.10871323 0.09672455 0.06197508 0.04353481
 0.13017604 0.04039404 0.05475762 0.05848856 0.2147094  0.02297594]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008829,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
35,35,iDR,True,0.17257163143894896,0.0033462811968793635,12,"[0.1347555  0.03172289 0.10801746 0.09610551 0.06157843 0.04325619
 0.1293429  0.04013551 0.05440716 0.05811423 0.2197353  0.0228289 ]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008833,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
36,36,iDR,True,0.1717352937524472,0.0033396780757684185,12,"[0.13387301 0.03151514 0.10731007 0.09547613 0.06117516 0.04297291
 0.12849585 0.03987267 0.05405086 0.05773365 0.22484517 0.02267939]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008915,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
37,37,iDR,True,0.17088127174277734,0.0033329666722213547,12,"[0.13297604 0.03130399 0.10659107 0.09483642 0.06076528 0.04268498
 0.12763491 0.03960552 0.05368871 0.05734682 0.23003883 0.02252744]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008954,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
38,38,iDR,True,0.17000941252057933,0.0033261473046516067,12,"[0.13206464 0.03108943 0.10586051 0.09418642 0.0603488  0.04239242
 0.12676012 0.03933406 0.05332073 0.05695378 0.23531604 0.02237304]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008856,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
39,39,iDR,True,0.16911957452413803,0.003319220397622964,12,"[0.13113886 0.0308715  0.10511843 0.09352618 0.05992576 0.04209525
 0.12587153 0.03905833 0.05294696 0.05655453 0.24067647 0.0222162 ]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009096,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
40,40,iDR,True,0.16821162823890864,0.0033121864846112426,12,"[0.13019879 0.03065019 0.10436488 0.09285573 0.05949618 0.04179349
 0.12496921 0.03877834 0.0525674  0.05614912 0.24611971 0.02205695]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008944,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
41,41,iDR,True,0.1672854569226969,0.0033050462106132155,12,"[0.1292445  0.03042554 0.10359994 0.09217515 0.0590601  0.04148717
 0.12405326 0.03849412 0.05218211 0.05573757 0.25164526 0.02189528]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008872,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
42,42,iDR,True,0.1663409573341592,0.003297800334587395,12,"[0.1282761  0.03019757 0.10282369 0.0914845  0.05861758 0.04117631
 0.12312375 0.03820569 0.05179112 0.05531994 0.25725252 0.02173122]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008823,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
43,43,iDR,True,0.16537804046212196,0.0032904497317112393,12,"[0.1272937  0.02996631 0.10203622 0.09078387 0.05816865 0.04086096
 0.12218081 0.03791309 0.05139448 0.05489628 0.26294083 0.02156479]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008774,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
44,44,iDR,True,0.16439663225304976,0.0032829953954394164,12,"[0.12629744 0.02973177 0.10123763 0.09007335 0.0577134  0.04054117
 0.12122456 0.03761637 0.05099224 0.05446663 0.26870942 0.02139602]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009197,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
45,45,iDR,True,0.163396674333838,0.0032754384393479594,12,"[0.12528746 0.02949401 0.10042805 0.08935305 0.05725188 0.04021697
 0.12025515 0.03731555 0.05058447 0.05403107 0.27455741 0.02122492]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009609,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
46,46,iDR,True,0.1623781247269492,0.0032677800987493547,12,"[0.12426393 0.02925307 0.09960761 0.08862309 0.05678416 0.03988842
 0.11927274 0.03701071 0.05017122 0.05358967 0.28048387 0.02105152]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.00881,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
47,47,iDR,True,0.1613409585547742,0.003260021732064044,12,"[0.12322704 0.02900897 0.09877646 0.08788359 0.05631034 0.03955558
 0.11827749 0.03670188 0.04975258 0.0531425  0.28648773 0.02087586]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009021,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
48,48,iDR,True,0.16028516872996496,0.0032521648219342347,12,"[0.12217697 0.02876177 0.09793475 0.0871347  0.05583049 0.03921851
 0.1172696  0.03638913 0.04932862 0.05268965 0.29256785 0.02069797]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.009006,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
49,49,iDR,True,0.15921076662836992,0.003244210976066512,12,"[0.12111395 0.02851153 0.09708265 0.08637657 0.05534473 0.03887728
 0.11624928 0.03607252 0.04889942 0.05223122 0.29872298 0.02051788]",[ 1  2  4  5 14 15 16 17 18 20 27 28],100,100,0.008832,1000,100,0.03,0.002,1,10,15,iDR,best,3,best
