pts,improve,qtd_vizinhos_validos,tempo_execucao
934.62,True,84,27.3
934.62,False,63,20.95
938.25,True,62,20.45
938.25,False,25,8.45
945.5,True,23,7.91
945.5,False,25,8.46
945.5,False,23,7.78
945.5,False,20,6.73
945.5,False,21,7.0
945.5,False,26,8.44
945.5,False,20,6.6
949.0,True,21,6.9
949.0,False,11,3.8
949.0,False,14,4.76
949.0,False,13,4.39
949.0,False,15,5.01
949.0,False,14,4.67
949.0,False,11,3.73
949.0,False,7,2.57
949.0,False,9,3.1
949.0,False,10,3.45
949.0,False,10,3.45
949.0,False,12,4.06
949.0,False,12,4.04
949.0,False,11,3.74
949.0,False,16,5.3
949.0,False,11,3.76
949.0,False,10,3.45
949.0,False,7,2.51
949.0,False,6,2.18
949.75,True,15,5.01
949.75,False,3,1.23
949.75,False,5,1.86
949.75,False,5,1.88
949.75,False,3,1.24
949.75,False,3,1.25
949.75,False,3,1.24
949.75,False,4,1.56
949.75,False,6,2.17
949.75,False,3,1.26
949.75,False,3,1.25
949.75,False,4,1.55
949.75,False,3,1.23
949.75,False,4,1.54
949.75,False,5,1.89
949.75,False,11,3.74
949.75,False,5,1.85
949.75,False,7,2.48
949.75,False,5,1.9
949.75,False,2,0.94
949.75,False,4,1.55
949.75,False,6,2.22
949.75,False,5,1.89
949.75,False,2,0.94
949.75,False,3,1.25
949.75,False,1,0.63
949.75,False,5,1.86
949.75,False,5,1.86
949.75,False,6,2.19
949.75,False,3,1.24
949.75,False,4,1.57
949.75,False,5,1.91
949.75,False,6,2.2
949.75,False,1,0.64
949.75,False,3,1.26
949.75,False,3,1.24
949.75,False,5,1.86
949.75,False,4,1.6
949.75,False,7,2.46
949.75,False,6,2.2
949.75,False,4,1.55
949.75,False,6,2.15
949.75,False,7,2.52
949.75,False,4,1.55
949.75,False,5,1.83
949.75,False,3,1.25
949.75,False,9,3.05
949.75,False,3,1.25
949.75,False,3,1.24
949.75,False,10,3.42
949.75,False,2,0.94
949.75,False,7,2.47
949.75,False,2,0.93
949.75,False,3,1.27
949.75,False,5,1.83
949.75,False,5,1.84
949.75,False,8,2.74
949.75,False,5,1.82
949.75,False,5,1.87
949.75,False,3,1.23
949.75,False,6,2.13
949.75,False,4,1.58
949.75,False,3,1.24
949.75,False,8,2.8
949.75,False,3,1.29
949.75,False,4,1.56
949.75,False,4,1.53
949.75,False,4,1.61
949.75,False,4,1.55
949.75,False,7,2.45
