pts,improve,qtd_vizinhos_validos,tempo_execucao
931.25,True,93,16.12
939.35,True,100,17.27
941.85,True,97,16.51
941.85,False,78,13.92
947.75,True,78,13.81
947.75,False,70,12.0
947.75,False,67,10.97
947.75,False,60,9.72
947.75,False,64,10.45
947.75,False,71,11.58
947.75,False,56,9.12
947.75,False,69,11.24
947.75,False,60,9.75
947.75,False,73,11.74
947.75,False,70,11.33
947.75,False,63,10.13
947.75,False,72,11.58
947.75,False,64,10.4
947.75,False,67,10.84
947.75,False,70,11.36
947.75,False,75,12.07
947.75,False,65,10.43
947.75,False,65,10.55
947.75,False,66,10.78
948.25,True,62,10.13
948.25,False,23,3.85
948.25,False,26,4.32
948.25,False,17,2.88
948.25,False,23,3.82
948.25,False,25,4.18
948.25,False,29,4.81
948.25,False,17,2.93
948.25,False,23,3.84
948.25,False,16,2.77
948.25,False,26,4.59
948.25,False,17,3.05
948.25,False,24,4.49
948.25,False,25,4.92
948.25,False,23,4.92
948.25,False,18,3.91
948.25,False,9,2.09
948.25,False,16,3.48
948.25,False,20,4.45
948.25,False,20,4.33
948.25,False,26,5.33
948.25,False,24,4.77
948.25,False,23,4.46
948.25,False,26,5.04
948.25,False,22,4.33
948.25,False,14,2.78
948.25,False,18,3.44
948.25,False,25,4.68
948.25,False,19,3.64
948.25,False,18,3.42
948.25,False,22,4.18
948.25,False,20,3.81
948.25,False,21,3.99
948.25,False,14,2.76
948.25,False,16,3.13
948.25,False,26,5.58
948.75,True,27,6.13
948.75,False,15,3.52
948.75,False,15,3.33
948.75,False,21,4.37
948.75,False,12,2.52
948.75,False,10,2.13
948.75,False,13,2.72
948.75,False,16,3.21
948.75,False,22,4.52
948.75,False,21,4.28
948.75,False,13,2.71
948.75,False,22,4.39
948.75,False,15,3.07
948.75,False,12,2.9
948.75,False,16,3.68
948.75,False,12,2.8
948.75,False,23,5.53
948.75,False,14,3.52
948.75,False,17,4.04
948.75,False,22,5.14
948.75,False,14,3.23
948.75,False,23,5.09
948.75,False,15,3.37
948.75,False,16,3.5
